video_id,source_path,trial_id,approach_onset_s,sniff_onset_s,sniff_offset_s,response_s,occlusion_notes,quality_flag
P1H31277,C:\Users\gitya\Downloads\Micro Exp Papers\P1H31277.mp4,1,,15,,,,ok
P1H31277,C:\Users\gitya\Downloads\Micro Exp Papers\P1H31277.mp4,2,,172,,,,ok
P1H42065,C:\Users\gitya\Downloads\Micro Exp Papers\P1H42065.mp4,1,,11,,,,ok
P1H42065,C:\Users\gitya\Downloads\Micro Exp Papers\P1H42065.mp4,2,,162,,,,ok
P1L42069,C:\Users\gitya\Downloads\Micro Exp Papers\P1L42069.mp4,1,,14,,,,ok
P1L42069,C:\Users\gitya\Downloads\Micro Exp Papers\P1L42069.mp4,2,,177,,,,ok
P2H31220,C:\Users\gitya\Downloads\Micro Exp Papers\P2H31220.mp4,1,,12,,,,ok
P2H31220,C:\Users\gitya\Downloads\Micro Exp Papers\P2H31220.mp4,2,,180,,,,ok
P2H42009,C:\Users\gitya\Downloads\Micro Exp Papers\P2H42009.mp4,1,,13,,,,ok
P2H42009,C:\Users\gitya\Downloads\Micro Exp Papers\P2H42009.mp4,2,,163,,,,ok
P2L40002,C:\Users\gitya\Downloads\Micro Exp Papers\P2L40002.mp4,1,,12,,,,ok
P2L40002,C:\Users\gitya\Downloads\Micro Exp Papers\P2L40002.mp4,2,,190,,,,ok
P2L42107,C:\Users\gitya\Downloads\Micro Exp Papers\P2L42107.mp4,1,,30,,,,ok
P2L42107,C:\Users\gitya\Downloads\Micro Exp Papers\P2L42107.mp4,2,,214,,,,ok
